Game,Month,Day,Year
A Game of Thrones: Genesis,September,"28,",2011
Ace of Spades,December,"12,",2012
Aces of the Pacific,November,"8,",1992
Act of War: Direct Action,March,"15,",2005
Act of War: High Treason,March,"24,",2006
AdvertCity,April,"17,",2015
Age of Empires,October,"15,",1997
Age of Empires II: The Age of Kings,September,"30,",1999
Age of Empires II: The Conquerors,August,"24,",2000
Age of Empires II: The Forgotten,November,"7,",2013
Age of Empires II: HD Edition,April,"9,",2013
Age of Mythology,October,"30,",2002
Age of Wonders,October,"31,",1999
Age of Wonders II: The Wizard's Throne,June,"12,",2002
Age of Wonders III,March,"31,",2014
Age of Wonders: Shadow Magic,July,"25,",2003
Air Conflicts: Secret Wars,September,"30,",2011
Air Conflicts: Vietnam,November,"26,",2013
Airscape: The Fall of Gravity,August,"11,",2015
Alan Wake,May,"14,",2010
Alien Swarm,July,"19,",2010
Alpha Prime,May,"25,",2007
Amnesia: The Dark Descent,August,"8,",2010
Amnesia: A Machine for Pigs,September,"10,",2013
Anno 1503,March,"23,",2003
Anno 1602,September,"24,",1998
Anno 1701,November,"3,",2006
Anno 2070,November,"17,",2011
Anno 2205,November,"3,",2015
Anomaly: Warzone Earth,April,"8,",2011
Antichamber,January,"31,",2013
ARMA: Armed Assault,November,"10,",2006
ARMA 2,June,"26,",2009
ARMA 3,September,"12,",2013
Assetto Corsa,November,"8,",2013
Astebreed,May,"31,",2014
Astrofire,May,"31,",2014
Attack on Titan,February,"18,",2016
Attack on Titan 2,March,"15,",2018
Audiosurf,February,"15,",2008
Audiosurf 2,October,"2,",2013
Automation - The Car Company Tycoon Game,October,"2,",2013
A Bastard's Tale,May,"26,",2015
A Bird Story,November,"7,",2014
A Blind Legend,April,"7,",2016
A Bloody Night,May,"23,",2017
A Boy and His Blob,January,"19,",2016
A Butterfly in the District of Dreams,May,"12,",2017
A Chair in a Room : Greenwater,April,"5,",2016
A City Sleeps,October,"16,",2014
A Date in the Park,February,"14,",2015
A Day in the Woods,October,"28,",2011
A dead world's dream,September,"20,",2016
A Demon's Game: Episode 1,December,"19,",2016
A Detective's Novel,July,"28,",2016
A dragon girl looks up at the endless sky,October,"27,",2016
A Druid's Duel,February,"25,",2015
A Duel Hand Disaster: Trackher,August,"29,",2017
Baldur's Gate,December,"21,",1998
Baldur's Gate: Tales of the Sword Coast,April,"30,",1999
Baldur's Gate II: Shadows of Amn,September,"24,",2000
Baldur's Gate II: Throne of Bhaal,June,"21,",2001
Banished,February,"18,",2014
Bastion,August,"16,",2011
Batman: Arkham Asylum,September,"15,",2009
Batman: Arkham City,October,"18,",2011
Batman: Arkham Knight,June,"2,",2015
Batman: Arkham Origins,October,"25,",2013
BattleBlock Theater,May,"15,",2014
Battlefield 1942,September,"10,",2002
Battlefield 1942: The Road to Rome,February,"2,",2003
Battlefield 1942: Secret Weapons of WWII,September,"4,",2003
Battlefield 2,June,"21,",2005
Battlefield 2142,October,"17,",2006
Battlefield 3,October,"25,",2011
Battlefield 4,October,"29,",2013
Battlefield Heroes,June,"25,",2009
Battlefield Play4Free,April,"4,",2011
Battleforge,March,"23,",2009
Battleground 2: Gettysburg,December,"31,",1995
Battleground 3: Waterloo,May,"31,",1996
Battleground 4: Shiloh,January,"31,",1996
Battleground 5: Antietam,December,"31,",1996
Battleground 6: Napoleon in Russia,March,"30,",1997
Battleground 7: Bull Run,March,"30,",1997
Battleground 8: Prelude to Waterloo,March,"30,",1997
Battleground 9: Chickamauga,March,"30,",1997
Battleground 10: Middle East,March,"30,",1997
Battleground 11: East Front,March,"30,",1997
Battlehawks 1942,March,"30,",1997
Battles in Time,March,"30,",1997
Battles of Napoleon,March,"30,",1997
Battleship: Surface Thunder,September,"12,",2000
Beam Breakers,October,"31,",2002
Beasts and Bumpkins,October,"31,",2002
Beyond Divinity,October,"31,",2002
Blade Symphony,May,"7,",2014
Blades of Time,May,"7,",2014
Borderlands,October,"20,",2009
Borderlands 2,September,"18,",2012
Borderlands: The Pre-Sequel!,October,"14,",2014
Braid,April,"10,",2009
Bridge Project,March,"28,",2013
Burnout Paradise: The Ultimate Box,February,"3,",2009
Call of Duty,October,"29,",2003
Call of Duty 2,October,"25,",2005
Call of Duty 4: Modern Warfare,November,"5,",2007
Call of Duty: Black Ops,November,"9,",2010
Call of Duty: Black Ops 2,December,"12,",2012
Call of Duty: Ghosts,November,"5,",2013
Call of Duty: Infinite Warfare,November,"4,",2016
Call of Duty: Modern Warfare 2,November,"10,",2009
Call of Duty: Modern Warfare 3,November,"8,",2011
Call of Duty Online,January,"14,",2013
Call of Duty: United Offensive,September,"14,",2004
Call of Duty: World at War,November,"11,",2008
CarneyVale: Showtime,November,"11,",2010
CarneyVale: Showtime,November,"11,",2010
Champions of Krynn,June,"1,",1990
Chaos Island: The Lost World,October,"30,",1997
Chivalry: Medieval Warfare,October,"16,",2012
Cities in Motion,February,"23,",2011
,April,"2,",2013
,April,"2,",2013
Civilization III,October,"30,",2001
Civilization III: Conquests,November,"4,",2003
Civilization III: Play the World,October,"31,",2002
Civilization IV,October,"25,",2005
Civilization V,September,"21,",2010
Civilization V: Brave New World,March,"15,",2013
Civilization V: Gods & Kings,February,"16,",2012
Civilization VI,October,"21,",2016
The Club,February,"7,",2008
Cobalt,February,"7,",2008
Command & Conquer,February,"7,",2008
Command & Conquer: Generals,February,"14,",2003
Command & Conquer: Red Alert 2,October,"26,",2000
Command & Conquer: Renegade,February,"26,",2002
Command & Conquer: Tiberian Sun,August,"27,",1999
Command & Conquer 4: Tiberian Twilight,March,"16,",2010
Commandos: Behind Enemy Lines,July,"31,",1998
Commandos: Beyond the Call of Duty,March,"31,",1999
Commandos: Strike Force,March,"17,",2006
Commandos 2: Men of Courage,September,"21,",2001
Commandos 3: Destination Berlin,October,"23,",2003
Company of Heroes,September,"12,",2006
Company of Heroes 2,June,"25,",2013
Contagion,April,"14,",2014
Cossacks II: Battle for Europe,June,"19,",2006
Counter-Strike,June,"19,",1999
Counter-Strike: Condition Zero,March,"23,",2004
Counter-Strike: Global Offensive,August,"12,",2012
Counter-Strike Online,June,"24,",2008
Counter-Strike: Source,September,"1,",2004
Crusader Kings,August,"27,",2004
Crusader Kings II,February,"14,",2012
Cryostasis: Sleep of Reason,February,"27,",2009
Crysis,November,"13,",2007
Crysis 2,March,"22,",2011
Crysis 3,February,"19,",2013
Curse of the Azure Bonds,September,"1,",1989
The Cursed Crusade,October,"25,",2011
Damnation,May,"25,",2009
Dark Sun Online: Crimson Sands,February,"1,",1996
Dark Sun: Shattered Lands,September,"1,",1993
Dark Sun: Wake of the Ravager,September,"1,",1993
Darksiders 2,August,"14,",2012
Darkstone: Evil Reigns,July,"31,",1999
Daryl F. Gates' Police Quest: SWAT,September,"30,",1995
Day of Defeat,August,"4,",2000
Day of Defeat: Source,September,"26,",2005
DayZ,December,"16,",2013
Dead Island,October,"20,",2011
Deadlight,August,"1,",2012
Dear Esther,February,"14,",2012
Death Knights of Krynn,January,"15,",1991
Deathmatch Classic,June,"1,",2001
Defcon,September,"29,",2006
Delta Force,November,"1,",1998
Delta Force 2,November,"3,",1999
Delta Force: Black Hawk Down,March,"24,",2003
Delta Force: Black Hawk Down: Team Sabre,January,"20,",2004
Delta Force: Land Warrior,November,"7,",2000
Delta Force: Task Force Dagger,June,"27,",2002
Delta Force: Xtreme,April,"22,",2005
Delta Force: Xtreme 2,June,"2,",2009
Democracy 3,October,"14,",2013
Deus Ex,June,"26,",2000
Deus Ex: Human Revolution,August,"23,",2011
Deus Ex: Invisible War,December,"3,",2003
Deus Ex: Invisible War,December,"3,",2003
Diablo,December,"31,",1996
Diablo II,June,"29,",2000
Digital Combat Simulator,December,"10,",2008
Dino D-Day,April,"8,",2011
Dirt 3,May,"24,",2011
Divine Divinity,September,"22,",2002
Dofus,September,"22,",2002
Doom,December,"10,",1993
Dota 2,July,"9,",2013
Dragon Age II,March,"8,",2011
Dragon Age: Inquisition,November,"18,",2014
Dragon Age: Origins,November,"3,",2009
Dragon Age: Origins – Awakening,March,"16,",2010
Dragon Quest X,August,"2,",2012
Dragon Quest X,August,"2,",2012
Dragons of Flame,September,"1,",1989
DragonStrike,September,"1,",1989
DRAMAtical Murder,March,"23,",2012
Duke Nukem,July,"1,",1991
Dune,November,"1,",1992
Dungeon Defenders,October,"19,",2011
Dungeon Keeper,June,"26,",1997
Dungeon Keeper 2,June,"30,",1999
Dungeons & Dragons Online,February,"28,",2006
Dungeons of Dredmor,July,"13,",2011
Dwarf Fortress,August,"8,",2006
The Elder Scrolls: Arena,August,"8,",2006
The Elder Scrolls Adventures: Redguard,October,"31,",1998
The Elder Scrolls II: Daggerfall,August,"31,",1996
The Elder Scrolls III: Bloodmoon,July,"3,",2003
The Elder Scrolls III: Morrowind,May,"1,",2002
The Elder Scrolls III: Tribunal,November,"6,",2002
